evaluador,nombre,tipo,image_index,lead_time_seg
E6,E6,ai,55,0.3350303429997439
E6,E6,ai,56,0.40649793299962766
E6,E6,ai,57,0.4196638079993136
E6,E6,ai,58,0.5457268819991441
E6,E6,ai,59,0.3067305980002857
E6,E6,ai,60,0.5021032799995737
E6,E6,ai,61,0.45887480700002925
E6,E6,ai,62,0.33783064499948523
E6,E6,ai,63,0.31209461700018437
E6,E6,ai,64,0.36691724400043313
E6,E6,ai,65,0.5613463449990377
E6,E6,ai,66,0.3012314699990384
E6,E6,ai,67,0.35087698200004525
E6,E6,ai,68,0.3312515040015569
E6,E6,ai,69,0.4040193159999035
E6,E6,ai,70,0.4270926490007696
E6,E6,ai,71,0.32178303499858885
E6,E6,ai,72,0.5273196220005048
E6,E6,ai,73,0.6638094350000756
E6,E6,ai,74,0.2967574269987381
E6,E6,ai,75,0.2861301569992065
E6,E6,ai,76,0.4460008320002089
E6,E6,ai,77,0.5408874869990541
E6,E6,ai,78,0.2746376009999949
E6,E6,ai,79,0.5733290680000209
E6,E6,ai,80,0.29823354600011953
E6,E6,ai,81,0.33331643199926475
E6,E6,ai,82,0.3313501829998131
E6,E6,ai,83,0.32746728399979474
E6,E6,ai,84,0.3462765699987358
E6,E6,ai,85,0.7042013209993456
E6,E6,ai,86,0.2831415759992524
E6,E6,ai,87,0.3194593660009559
E6,E6,ai,88,0.6279634949987667
E6,E6,ai,89,0.40240450000055716
E6,E6,ai,90,0.682919385999412
E6,E6,ai,91,0.31475346600018383
E6,E6,ai,92,0.38989382200088585
E6,E6,ai,93,0.6142534509999678
E6,E6,ai,94,0.4510531819996686
E6,E6,ai,95,0.28666924400022253
E6,E6,ai,96,0.46909941699959745
E6,E6,ai,97,0.3523404660008964
E6,E6,ai,98,0.4365372550000757
E6,E6,ai,99,0.4512859780006693
E6,E6,ai,100,0.5649272480004583
E6,E6,ai,101,0.3638794559992675
E7,E7,ai,1,0.13015735299995868
E7,E7,ai,2,0.0888431910007057
E7,E7,ai,3,0.07321369700002833
E7,E7,ai,4,0.08797787800085644
E7,E7,ai,5,0.08776823300013348
E7,E7,ai,6,0.039921352000419574
E7,E7,ai,7,0.04582932900029846
E7,E7,ai,8,0.05406220300028508
E7,E7,ai,9,0.06835856900033832
E7,E7,ai,10,0.06882732899975963
E7,E7,ai,11,0.07519088899971393
E7,E7,ai,12,0.05098579900004552
E7,E7,ai,13,0.04748041399943759
E7,E7,ai,14,0.07205899899963697
E7,E7,ai,15,0.06772604900015722
E7,E7,ai,16,0.06537024400040536
E7,E7,ai,17,0.05083823700078938
E7,E7,ai,18,0.052069687999392045
E7,E7,ai,19,0.04066070599947125
E7,E7,ai,20,0.04679319300066709
E7,E7,ai,21,0.0434516409995922
E7,E7,ai,22,0.03583739400073682
E7,E7,ai,23,0.07718092999948567
E7,E7,ai,24,0.04060519199992996
E7,E7,ai,25,0.043772665999313176
E7,E7,ai,26,0.07546590600031777
E7,E7,ai,27,0.08833172499998909
E7,E7,ai,28,0.04777938200004428
